z,Dehalococcoides_BAV1_uid58477,Dehalococcoides_ethenogenes_195_uid57763
s36,NC_009455.1: complement(34260..34466),NC_002936.3: complement(32099..32389)
s37,NC_009455.1: complement(34582..35115),NC_002936.3: 32598..33446
s38,NC_009455.1: complement(35186..35794),NC_002936.3: 33439..34836
s39,NC_009455.1: complement(35805..35999),NC_002936.3: complement(34833..35045)
s40,NC_009455.1: 36141..36512,NC_002936.3: complement(35156..35689)
s41,NC_009455.1: 36648..37094,NC_002936.3: complement(35760..36266)
s42,NC_009455.1: complement(37091..38194),NC_002936.3: complement(36271..36363)
s43,NC_009455.1: complement(38216..38458),NC_002936.3: complement(36374..36568)
s44,NC_009455.1: 38586..39614,NC_002936.3: 36711..37082
s45,NC_009455.1: 39616..40227,NC_002936.3: 37216..37662
s46,NC_009455.1: 40262..41269,NC_002936.3: complement(37659..38762)
s47,NC_009455.1: 41385..44000,NC_002936.3: 38985..40184
s48,NC_009455.1: 44047..44448,NC_002936.3: 40186..40797
s49,NC_009455.1: 44470..45648,NC_002936.3: 40831..41841
s50,NC_009455.1: 45743..46885,NC_002936.3: 41957..44572
s51,NC_009455.1: 50498..52972,NC_002936.3: 44619..45020
s52,NC_009455.1: 53418..54812,NC_002936.3: 45042..46220
s53,NC_009455.1: 54799..55482,NC_002936.3: 46311..47453
s54,NC_009455.1: 55488..55961,NC_002936.3: 50873..51034
s55,NC_009455.1: 55965..57338,NC_002936.3: 51068..53542
s56,NC_009455.1: 57557..58555,NC_002936.3: 53762..55150
s57,NC_009455.1: complement(58582..59448),NC_002936.3: 55137..55820
s58,NC_009455.1: complement(59840..60553),NC_002936.3: 55826..56299
s59,NC_009455.1: complement(60568..60753),NC_002936.3: 56303..57679
s60,NC_009455.1: 60861..61205,NC_002936.3: complement(57770..59398)
s61,NC_009455.1: complement(61286..66757),NC_002936.3: complement(59395..60327)
s62,NC_009455.1: complement(67261..68091),NC_002936.3: complement(60943..61803)
s63,NC_009455.1: complement(68088..68522),NC_002936.3: complement(61934..63169)
s64,NC_009455.1: complement(68535..68987),NC_002936.3: complement(63144..64328)
s65,NC_009455.1: complement(68993..69451),NC_002936.3: complement(64901..64999)
s66,NC_009455.1: complement(69766..70215),NC_002936.3: complement(64990..65346)
s67,NC_009455.1: 70367..70630,NC_002936.3: complement(65454..65888)
s68,NC_009455.1: 70591..71598,NC_002936.3: complement(66131..67672)
s69,NC_009455.1: 71595..73340,NC_002936.3: complement(67896..70169)
s70,NC_009455.1: 73340..73684,NC_002936.3: complement(70495..70914)
s71,NC_009455.1: complement(74225..74767),NC_002936.3: complement(70995..72935)
s72,NC_009455.1: complement(75294..75611),NC_002936.3: 73164..74357
s73,NC_009455.1: complement(75785..76420),NC_002936.3: 75226..75843
s74,NC_009455.1: complement(76799..79402),NC_002936.3: 76009..76266
s75,NC_009455.1: complement(79846..80181),NC_002936.3: complement(76921..77205)
s76,NC_009455.1: complement(80178..80450),NC_002936.3: complement(77229..78893)
s77,NC_009455.1: 81298..81921,NC_002936.3: 79177..79710
s78,NC_009455.1: 82056..83015,NC_002936.3: complement(79906..80883)
s79,NC_009455.1: complement(83602..84609),NC_002936.3: complement(81781..82047)
s80,NC_009455.1: complement(84613..85461),NC_002936.3: 82185..82475
s81,NC_009455.1: 85925..86209,NC_002936.3: complement(82975..83436)
s82,NC_009455.1: 86347..87135,NC_002936.3: complement(83436..83621)
s83,NC_009455.1: complement(87298..88449),NC_002936.3: complement(83691..85808)
s84,NC_009455.1: complement(89033..89578),NC_002936.3: 85832..86293
s85,NC_009455.1: complement(89582..89908),NC_002936.3: 86386..87237
s86,NC_009455.1: complement(89909..90487),NC_002936.3: 87234..88049
s87,NC_009455.1: complement(91006..92598),NC_002936.3: 88197..88715
s88,NC_009455.1: complement(92675..93010),NC_002936.3: 88814..89524
s89,NC_009455.1: complement(93066..93458),NC_002936.3: 89695..89820
s90,NC_009455.1: complement(93499..93825),NC_002936.3: complement(89828..90022)
s91,NC_009455.1: 93922..94554,NC_002936.3: complement(90038..92068)
s92,NC_009455.1: 94704..95195,NC_002936.3: complement(92065..92373)
s93,NC_009455.1: 95226..96302,NC_002936.3: complement(92373..93089)
s94,NC_009455.1: 96364..97416,NC_002936.3: complement(93341..93646)
s95,NC_009455.1: complement(97959..98744),NC_002936.3: complement(93748..94902)
s96,NC_009455.1: complement(98940..99575),NC_002936.3: complement(94903..95592)
s97,NC_009455.1: complement(99572..100531),NC_002936.3: complement(95615..98716)
s98,NC_009455.1: 100651..100776,NC_002936.3: complement(98820..100001)
s99,NC_009455.1: complement(100821..101420),NC_002936.3: complement(100022..100960)
s100,NC_009455.1: 101503..101718,NC_002936.3: 101430..102416
s101,NC_009455.1: complement(102397..103161),NC_002936.3: complement(103037..103876)
s102,NC_009455.1: complement(103248..103544),NC_002936.3: 104074..105375
s103,NC_009455.1: complement(103582..105129),NC_002936.3: 105422..105559
s104,NC_009455.1: complement(105240..106106),NC_002936.3: 105582..107357
s105,NC_009455.1: complement(106418..107101),NC_002936.3: complement(107426..107908)
s106,NC_009455.1: complement(107082..108308),NC_002936.3: complement(107911..109491)
s107,NC_009455.1: complement(108405..109889),NC_002936.3: complement(109522..110586)
s108,NC_009455.1: complement(109912..110661),NC_002936.3: complement(110640..111443)
s109,NC_009455.1: complement(110658..111404),NC_002936.3: 111908..112024
s110,NC_009455.1: complement(111488..111757),NC_002936.3: complement(112188..113261)
s111,NC_009455.1: complement(111779..113299),NC_002936.3: complement(113258..114316)
s112,NC_009455.1: complement(113374..113997),NC_002936.3: complement(115191..115763)
s113,NC_009455.1: 114086..114973,NC_002936.3: complement(116009..116551)
s114,NC_009455.1: complement(114986..115681),NC_002936.3: 116845..118599
s115,NC_009455.1: complement(115822..116100),NC_002936.3: 118589..120085
s116,NC_009455.1: 116258..116575,NC_002936.3: complement(120082..120369)
s117,NC_009455.1: 116611..116883,NC_002936.3: 120397..120492
s118,NC_009455.1: complement(117096..118538),NC_002936.3: complement(120504..122435)
s119,NC_009455.1: complement(118864..119136),NC_002936.3: complement(122655..122798)
s120,NC_009455.1: complement(119160..120704),NC_002936.3: 122839..123864
s121,NC_009455.1: complement(120715..120942),NC_002936.3: 123885..125009
s122,NC_009455.1: 120969..122270,NC_002936.3: complement(125140..128325)
s123,NC_009455.1: 122267..122944,NC_002936.3: complement(128406..129797)
s124,NC_009455.1: 123332..123655,NC_002936.3: complement(129837..130253)
s125,NC_009455.1: 123743..124000,NC_002936.3: complement(130246..130617)
s126,NC_009455.1: 124013..124354,NC_002936.3: complement(130704..131096)
s127,NC_009455.1: 124563..125747,NC_002936.3: complement(131241..131813)
s128,NC_009455.1: 125873..126727,NC_002936.3: complement(132044..132256)
s129,NC_009455.1: 126795..128852,NC_002936.3: complement(132330..132749)
s130,NC_009455.1: complement(128849..129427),NC_002936.3: 132882..133574
s131,NC_009455.1: 129622..130902,NC_002936.3: 133577..135322
s132,NC_009455.1: complement(130984..133176),NC_002936.3: 135505..135939
s133,NC_009455.1: complement(133630..134124),NC_002936.3: 136010..136846
s134,NC_009455.1: 134276..134629,NC_002936.3: 136921..137781
s135,NC_009455.1: complement(134626..135600),NC_002936.3: 137774..138625
s136,NC_009455.1: complement(135870..136667),NC_002936.3: 138626..139381
s137,NC_009455.1: 136845..138170,NC_002936.3: 139394..140059
s138,NC_009455.1: 138170..139456,NC_002936.3: 140040..140480
s139,NC_009455.1: complement(139431..140723),NC_002936.3: complement(140534..141088)
s140,NC_009455.1: complement(140704..141405),NC_002936.3: 141401..141868
s141,NC_009455.1: complement(141402..142616),NC_002936.3: 141870..143123
s142,NC_009455.1: complement(142616..143470),NC_002936.3: 143111..144832
s143,NC_009455.1: complement(143472..145091),NC_002936.3: 144873..145376
s144,NC_009455.1: complement(145088..146011),NC_002936.3: complement(145482..146315)
s145,NC_009455.1: complement(146027..146677),NC_002936.3: complement(146322..146582)
s146,NC_009455.1: complement(146706..147683),NC_002936.3: complement(146722..147444)
s147,NC_009455.1: complement(147680..148390),NC_002936.3: complement(147441..148334)
s148,NC_009455.1: complement(148393..149334),NC_002936.3: 148436..148987
s149,NC_009455.1: complement(149327..150322),NC_002936.3: complement(149100..150632)
s150,NC_009455.1: complement(150315..151547),NC_002936.3: complement(150830..151645)
s151,NC_009455.1: 151751..152758,NC_002936.3: 151916..152620
s152,NC_009455.1: complement(152771..153682),NC_002936.3: complement(152967..153140)
s153,NC_009455.1: complement(153774..154277),NC_002936.3: 153584..154099
s154,NC_009455.1: complement(154274..154549),NC_002936.3: 154245..155522
s155,NC_009455.1: complement(154740..155126),NC_002936.3: 156341..156820
s156,NC_009455.1: complement(155284..155814),NC_002936.3: 159312..159542
s157,NC_009455.1: complement(155818..157125),NC_002936.3: 159517..159852
s158,NC_009455.1: 157300..159741,NC_002936.3: 159891..160157
s159,NC_009455.1: 159743..160546,NC_002936.3: 160181..161005
s160,NC_009455.1: 160640..161128,NC_002936.3: complement(161375..162187)
s161,NC_009455.1: complement(161239..161493),NC_002936.3: complement(162819..163640)
s162,NC_009455.1: complement(161582..162061),NC_002936.3: complement(163656..164207)
s163,NC_009455.1: complement(162033..162611),NC_002936.3: complement(165258..165956)
s164,NC_009455.1: 162990..165971,NC_002936.3: complement(165964..167475)
s165,NC_009455.1: 166059..167270,NC_002936.3: complement(167587..167838)
s166,NC_009455.1: 167271..168119,NC_002936.3: 167859..169391
s167,NC_009455.1: complement(168301..169266),NC_002936.3: 169416..169616
s168,NC_009455.1: complement(169433..171118),NC_002936.3: 169666..169938
s169,NC_009455.1: 171591..172550,NC_002936.3: 169953..170072
s170,NC_009455.1: 172547..172819,NC_002936.3: complement(170109..170789)
s171,NC_009455.1: complement(173038..173325),NC_002936.3: complement(170770..172560)
s172,NC_009455.1: complement(173374..174741),NC_002936.3: complement(172550..173143)
s173,NC_009455.1: 174984..175583,NC_002936.3: 173382..174749
s174,NC_009455.1: 175567..177360,NC_002936.3: 174799..175086
s175,NC_009455.1: 177341..178021,NC_002936.3: complement(175181..175342)
s176,NC_009455.1: complement(178952..179650),NC_002936.3: 175537..177219
s177,NC_009455.1: complement(179904..181679),NC_002936.3: 177388..178353
s178,NC_009455.1: complement(181715..182533),NC_002936.3: complement(178514..179362)
s179,NC_009455.1: complement(182628..183593),NC_002936.3: complement(179363..180574)
s180,NC_009455.1: complement(183577..184734),NC_002936.3: complement(180662..183643)
s181,NC_009455.1: complement(184727..187846),NC_002936.3: complement(183782..183889)
s182,NC_009455.1: complement(187849..191217),NC_002936.3: 184012..184590
s183,NC_009455.1: complement(191603..192088),NC_002936.3: 184562..185041
s184,NC_009455.1: complement(192130..192447),NC_002936.3: 185130..185384
s185,NC_009455.1: complement(192501..192983),NC_002936.3: complement(185493..185981)
s186,NC_009455.1: complement(193972..195231),NC_002936.3: complement(186078..186881)
s187,NC_009455.1: complement(195367..195978),NC_002936.3: complement(186883..189324)
s188,NC_009455.1: 196354..197508,NC_002936.3: 189504..190811
s189,NC_009455.1: 197565..199514,NC_002936.3: complement(190794..190886)
s190,NC_009455.1: 199571..201061,NC_002936.3: 191008..191316
s191,NC_009455.1: complement(201126..201662),NC_002936.3: 191505..191780
s192,NC_009455.1: complement(201666..203210),NC_002936.3: 191777..192283
s193,NC_009455.1: complement(203508..204203),NC_002936.3: 192371..193282
s194,NC_009455.1: complement(204203..204676),NC_002936.3: complement(193284..194462)
s195,NC_009455.1: complement(205657..205983),NC_002936.3: 194508..195740
s196,NC_009455.1: complement(206168..207424),NC_002936.3: 195733..196728
s197,NC_009455.1: complement(207438..208577),NC_002936.3: 196721..197659
s198,NC_009455.1: complement(208587..209246),NC_002936.3: 197662..198372
s199,NC_009455.1: complement(209261..210178),NC_002936.3: 198369..199346
s200,NC_009455.1: complement(210179..210436),NC_002936.3: 199374..200024
s201,NC_009455.1: complement(210436..210903),NC_002936.3: 200051..200962
s202,NC_009455.1: complement(210903..211568),NC_002936.3: 200959..202578
s203,NC_009455.1: complement(211621..212151),NC_002936.3: 202664..203434
s204,NC_009455.1: complement(212169..212756),NC_002936.3: 203434..204648
s205,NC_009455.1: complement(213369..213581),NC_002936.3: 204645..205340
s206,NC_009455.1: complement(213999..214247),NC_002936.3: 205327..206622
s207,NC_009455.1: complement(214511..215332),NC_002936.3: complement(206594..207880)
s208,NC_009455.1: complement(215506..216429),NC_002936.3: complement(207873..209195)
s209,NC_009455.1: complement(217143..219338),NC_002936.3: 209328..210161
s210,NC_009455.1: complement(219388..220368),NC_002936.3: 210340..211314
s211,NC_009455.1: 220889..221284,NC_002936.3: complement(211311..211664)
s212,NC_009455.1: 221289..222218,NC_002936.3: 211817..212311
s213,NC_009455.1: 222243..223796,NC_002936.3: 212513..212605
s214,NC_009455.1: complement(223909..224403),NC_002936.3: 212825..214951
s215,NC_009455.1: complement(224517..225551),NC_002936.3: complement(215032..216312)
s216,NC_009455.1: 225636..226538,NC_002936.3: 216499..217086
s217,NC_009455.1: 226535..227257,NC_002936.3: complement(217083..219074)
s218,NC_009455.1: 227481..227741,NC_002936.3: complement(219207..220073)
s219,NC_009455.1: 227748..228581,NC_002936.3: complement(220167..221306)
s220,NC_009455.1: complement(228810..229313),NC_002936.3: 221293..221490
s221,NC_009455.1: complement(229353..231074),NC_002936.3: complement(221528..221869)
s222,NC_009455.1: complement(231062..232315),NC_002936.3: complement(221882..222157)
s223,NC_009455.1: complement(232317..232784),NC_002936.3: complement(222217..222540)
s224,NC_009455.1: complement(233230..233643),NC_002936.3: complement(222594..222689)
s225,NC_009455.1: complement(233645..234310),NC_002936.3: complement(222756..223439)
s226,NC_009455.1: complement(234323..235078),NC_002936.3: complement(223420..225243)
s227,NC_009455.1: complement(235079..235930),NC_002936.3: complement(225245..225847)
s228,NC_009455.1: complement(235923..236783),NC_002936.3: 226290..227762
s229,NC_009455.1: complement(236858..237712),NC_002936.3: 227801..228079
s230,NC_009455.1: complement(237752..238186),NC_002936.3: 228256..229476
s231,NC_009455.1: complement(238395..240140),NC_002936.3: 229609..230361
s232,NC_009455.1: complement(240143..240835),NC_002936.3: 230439..231110
s233,NC_009455.1: 240968..241387,NC_002936.3: 231115..231837
s234,NC_009455.1: 241477..241689,NC_002936.3: 231907..232677
s235,NC_009455.1: complement(241693..242652),NC_002936.3: 232708..233487
s236,NC_009455.1: 242759..243331,NC_002936.3: 233493..234233
s237,NC_009455.1: 243476..243868,NC_002936.3: 234242..235999
s238,NC_009455.1: 243949..244320,NC_002936.3: 235992..236531
s239,NC_009455.1: 244313..244729,NC_002936.3: 236546..237502
s240,NC_009455.1: 244769..246160,NC_002936.3: 237518..237778
s241,NC_009455.1: complement(249514..250638),NC_002936.3: 237790..238941
s242,NC_009455.1: complement(250653..251684),NC_002936.3: 238955..239761
s243,NC_009455.1: 252226..254028,NC_002936.3: 239758..240828
s244,NC_009455.1: 254159..254446,NC_002936.3: complement(240825..241478)
s245,NC_009455.1: complement(254443..255939),NC_002936.3: 241589..241819
s246,NC_009455.1: complement(255932..257680),NC_002936.3: 242312..244918
s247,NC_009455.1: 257974..258516,NC_002936.3: 245244..245879
s248,NC_009455.1: 258696..259334,NC_002936.3: complement(245933..246118)
s249,NC_009455.1: 259346..260212,NC_002936.3: 246601..247194
s250,NC_009455.1: 260209..261267,NC_002936.3: complement(247482..247718)
s251,NC_009455.1: 261264..262337,NC_002936.3: 248008..248277
s252,NC_009455.1: 263015..263818,NC_002936.3: complement(248267..248611)
s253,NC_009455.1: 263871..264935,NC_002936.3: complement(248611..250371)
s254,NC_009455.1: 264966..266546,NC_002936.3: complement(250368..251357)
s255,NC_009455.1: 266549..267031,NC_002936.3: complement(251354..252163)
s256,NC_009455.1: complement(267098..269017),NC_002936.3: complement(252173..252601)
s257,NC_009455.1: complement(269080..270384),NC_002936.3: complement(252602..252964)
s258,NC_009455.1: 270583..271422,NC_002936.3: complement(252970..253419)
s259,NC_009455.1: 271569..271934,NC_002936.3: complement(253435..253695)
s260,NC_009455.1: complement(272052..273038),NC_002936.3: complement(253760..254215)
s261,NC_009455.1: 273519..274457,NC_002936.3: 254362..254658
s262,NC_009455.1: 274478..275659,NC_002936.3: 254639..256909
s263,NC_009455.1: 275652..278864,NC_002936.3: 256911..261284
s264,NC_009455.1: 278887..279576,NC_002936.3: 261335..261679
s265,NC_009455.1: 279577..280722,NC_002936.3: complement(262087..263046)
s266,NC_009455.1: 280911..281219,NC_002936.3: complement(263326..263556)
s267,NC_009455.1: 282499..282777,NC_002936.3: 263667..264320
s268,NC_009455.1: 282918..283613,NC_002936.3: 264395..264661
s269,NC_009455.1: complement(284016..284702),NC_002936.3: 264670..267276
s270,NC_009455.1: complement(284702..287914),NC_002936.3: 267602..268237
s271,NC_009455.1: 288132..289703,NC_002936.3: complement(268291..268476)
s272,NC_009455.1: 289727..289999,NC_002936.3: 268959..269552
s273,NC_009455.1: complement(290133..290546),NC_002936.3: complement(269840..270076)
s274,NC_009455.1: complement(290722..292206),NC_002936.3: 270366..270635
s275,NC_009455.1: complement(292229..292978),NC_002936.3: complement(270625..270969)
s276,NC_009455.1: complement(293045..294457),NC_002936.3: complement(270969..272729)
s277,NC_009455.1: complement(294482..294757),NC_002936.3: complement(272726..273715)
s278,NC_009455.1: complement(294908..295174),NC_002936.3: complement(273712..274521)
s279,NC_009455.1: complement(295198..296688),NC_002936.3: complement(274531..274959)
s280,NC_009455.1: complement(296763..297491),NC_002936.3: complement(274960..275322)
s281,NC_009455.1: complement(297683..298363),NC_002936.3: complement(275328..275777)
s282,NC_009455.1: complement(298344..298790),NC_002936.3: complement(275793..276053)
s283,NC_009455.1: 298979..299257,NC_002936.3: complement(276118..276573)
s284,NC_009455.1: 299398..300093,NC_002936.3: 276720..277016
s285,NC_009455.1: complement(300086..301930),NC_002936.3: 276997..279267
s286,NC_009455.1: complement(302909..303697),NC_002936.3: 279269..283642
s287,NC_009455.1: complement(303835..304119),NC_002936.3: 283693..284037
s288,NC_009455.1: 304200..304961,NC_002936.3: complement(284445..285404)
s289,NC_009455.1: 304962..305693,NC_002936.3: 285527..286027
s290,NC_009455.1: 305957..307495,NC_002936.3: complement(286081..286500)
s291,NC_009455.1: 307553..307783,NC_002936.3: complement(286682..286849)
s292,NC_009455.1: 308094..308381,NC_002936.3: 286986..287729
s293,NC_009455.1: complement(308492..308707),NC_002936.3: complement(287810..288487)
s294,NC_009455.1: 308790..309389,NC_002936.3: complement(288484..289764)
s295,NC_009455.1: complement(309434..309559),NC_002936.3: 290049..291593
s296,NC_009455.1: 309679..310638,NC_002936.3: 291617..291889
s297,NC_009455.1: 310635..312281,NC_002936.3: complement(291965..292636)
s298,NC_009455.1: complement(312287..313114),NC_002936.3: complement(292640..293917)
s299,NC_009455.1: complement(313092..313727),NC_002936.3: 294215..295732
s300,NC_009455.1: complement(313732..315324),NC_002936.3: 295765..296040
s301,NC_009455.1: complement(315321..315920),NC_002936.3: 296108..296713
s302,NC_009455.1: complement(315990..317195),NC_002936.3: complement(296773..296865)
s303,NC_009455.1: 317320..317943,NC_002936.3: 296875..298593
s304,NC_009455.1: 317970..318995,NC_002936.3: 298706..300253
s305,NC_009455.1: complement(318969..319904),NC_002936.3: 300296..300592
s306,NC_009455.1: complement(319927..320832),NC_002936.3: 300678..300824
s307,NC_009455.1: complement(320825..322174),NC_002936.3: 300832..301614
s308,NC_009455.1: complement(322188..323684),NC_002936.3: 302102..303706
s309,NC_009455.1: complement(323844..324245),NC_002936.3: 303681..304358
s310,NC_009455.1: complement(324505..326952),NC_002936.3: complement(304495..304614)
s311,NC_009455.1: complement(326973..327368),NC_002936.3: 304666..306153
s312,NC_009455.1: complement(327492..328238),NC_002936.3: 306183..306452
s313,NC_009455.1: 328421..328849,NC_002936.3: 306544..307098
s314,NC_009455.1: 328856..329905,NC_002936.3: 307095..307547
s315,NC_009455.1: 329976..331202,NC_002936.3: complement(307601..307732)
s316,NC_009455.1: 331242..332372,NC_002936.3: complement(307887..308897)
s317,NC_009455.1: 332516..333043,NC_002936.3: complement(309075..309902)
s318,NC_009455.1: 333045..335645,NC_002936.3: complement(309959..311551)
s319,NC_009455.1: 335639..335758,NC_002936.3: complement(311548..312147)
s320,NC_009455.1: 335875..336459,NC_002936.3: complement(312219..313424)
s321,NC_009455.1: 336428..338062,NC_002936.3: 313551..314171
s322,NC_009455.1: complement(338112..338561),NC_002936.3: 314201..315226
s323,NC_009455.1: complement(338563..338757),NC_002936.3: complement(315200..316135)
s324,NC_009455.1: complement(338931..340652),NC_002936.3: complement(316155..317060)
s325,NC_009455.1: 340905..341219,NC_002936.3: complement(317053..318402)
s326,NC_009455.1: 341229..342593,NC_002936.3: complement(318432..319913)
s327,NC_009455.1: 342617..343066,NC_002936.3: complement(319939..320052)
s328,NC_009455.1: 343069..343989,NC_002936.3: complement(320063..320464)
s329,NC_009455.1: 344057..344656,NC_002936.3: complement(320720..323167)
s330,NC_009455.1: 344703..344942,NC_002936.3: complement(323189..323599)
s331,NC_009455.1: 344943..346943,NC_002936.3: complement(323723..324469)
s332,NC_009455.1: 346953..347165,NC_002936.3: 324652..325080
s333,NC_009455.1: complement(347280..348653),NC_002936.3: 325087..326136
s334,NC_009455.1: complement(348643..349005),NC_002936.3: 326206..327432
s335,NC_009455.1: 349113..349808,NC_002936.3: 327473..328603
s336,NC_009455.1: complement(350773..351390),NC_002936.3: 328749..329276
s337,NC_009455.1: complement(351502..351675),NC_002936.3: 329593..331878
s338,NC_009455.1: 351733..351963,NC_002936.3: 331885..331992
s339,NC_009455.1: 352061..353194,NC_002936.3: 332109..332693
s340,NC_009455.1: 353310..354350,NC_002936.3: 332662..334296
s341,NC_009455.1: 354352..356781,NC_002936.3: complement(334345..334794)
s342,NC_009455.1: 356871..357506,NC_002936.3: complement(334797..334991)
s343,NC_009455.1: complement(357571..359280),NC_002936.3: complement(335166..335396)
s344,NC_009455.1: complement(359374..360420),NC_002936.3: complement(335508..336938)
s345,NC_009455.1: complement(360456..361493),NC_002936.3: 337146..337487
s346,NC_009455.1: complement(361494..362627),NC_002936.3: 337471..338382
s347,NC_009455.1: complement(362612..363415),NC_002936.3: 338433..339533
s348,NC_009455.1: complement(363419..364129),NC_002936.3: 339545..339757
s349,NC_009455.1: complement(364194..364715),NC_002936.3: complement(339868..341193)
s350,NC_009455.1: complement(364753..365478),NC_002936.3: complement(341231..341614)
s351,NC_009455.1: complement(365493..365996),NC_002936.3: 341702..342397
s352,NC_009455.1: complement(366021..366758),NC_002936.3: 343205..343351
s353,NC_009455.1: complement(366944..367711),NC_002936.3: complement(343335..344060)
s354,NC_009455.1: complement(367718..370579),NC_002936.3: 344252..344524
s355,NC_009455.1: complement(370583..371464),NC_002936.3: 344622..345755
s356,NC_009455.1: 371649..372047,NC_002936.3: 345870..346910
s357,NC_009455.1: 372228..372998,NC_002936.3: 346912..349341
s358,NC_009455.1: complement(373077..374222),NC_002936.3: 349435..350070
s359,NC_009455.1: 374484..375308,NC_002936.3: complement(350138..351847)
s360,NC_009455.1: 375333..375548,NC_002936.3: complement(351938..352903)
s361,NC_009455.1: 375557..377218,NC_002936.3: complement(353021..354058)
s362,NC_009455.1: 377240..378214,NC_002936.3: complement(354059..355192)
s363,NC_009455.1: complement(378429..380243),NC_002936.3: complement(355177..355980)
s364,NC_009455.1: complement(380315..381145),NC_002936.3: complement(355984..356694)
s365,NC_009455.1: 381265..381609,NC_002936.3: complement(356761..357318)
s366,NC_009455.1: complement(381610..382038),NC_002936.3: complement(357320..358045)
s367,NC_009455.1: complement(382048..383418),NC_002936.3: complement(358060..358563)
s368,NC_009455.1: complement(383396..383887),NC_002936.3: complement(358588..359325)
s369,NC_009455.1: complement(383884..384894),NC_002936.3: complement(359510..360277)
s370,NC_009455.1: 385186..385962,NC_002936.3: complement(360284..363145)
s371,NC_009455.1: 385964..386731,NC_002936.3: complement(363149..364030)
s372,NC_009455.1: 386733..387827,NC_002936.3: 364234..364611
s373,NC_009455.1: 387811..388731,NC_002936.3: 364790..365560
s374,NC_009455.1: 388731..389333,NC_002936.3: complement(365645..366790)
s375,NC_009455.1: 389414..390193,NC_002936.3: 366875..367033
s376,NC_009455.1: 390213..391088,NC_002936.3: 367041..367865
s377,NC_009455.1: 391082..391936,NC_002936.3: 367890..368105
s378,NC_009455.1: 391992..392489,NC_002936.3: 368114..369775
s379,NC_009455.1: complement(392569..392820),NC_002936.3: 369797..370771
s380,NC_009455.1: complement(392895..393704),NC_002936.3: complement(370749..371045)
s381,NC_009455.1: complement(393697..394947),NC_002936.3: complement(371093..372919)
s382,NC_009455.1: 395028..395945,NC_002936.3: complement(372979..373809)
s383,NC_009455.1: 395942..396709,NC_002936.3: 373929..374273
s384,NC_009455.1: 396759..397310,NC_002936.3: complement(374274..374702)
s385,NC_009455.1: 397307..397780,NC_002936.3: complement(374712..376082)
s386,NC_009455.1: 397868..398773,NC_002936.3: complement(376060..376551)
s387,NC_009455.1: complement(398844..399356),NC_002936.3: complement(376548..377558)
s388,NC_009455.1: 399507..399857,NC_002936.3: 377850..378626
s389,NC_009455.1: complement(399945..400706),NC_002936.3: 378628..379395
s390,NC_009455.1: complement(400706..401527),NC_002936.3: 379397..380491
